సంధి పదం 	విసంధి 	సంధి పేరు
రాజనీశ్వరుడు 	రజని + ఈశ్వరుడు 	సవర్ణదీర్ఘసంధి 	"రాజనీశ్వరుడు" ఏం సంధి?
అత్యంత 	అతి + అంత 	యణాదేశసంధి 	"అత్యంత" ఏం సంధి?
వంటాముదము 	వంట + ఆముదము 	అకారసంధి 	"వంటాముదము"
ఏమనిరి 	ఏమి + అనిరి 	ఇకారసంధి 	"ఏమనిరి"
అవ్విధంబున 	ఆ + విధంబున 	త్రికసంధి 	"అవ్విధంబున"
సముతుకాకృతి 	సముత్సుక + ఆకృతి 	సవర్ణదీర్ఘసంధి 	"సముతుకాకృతి"
చంద్రికాంభోధి  	చంద్రిక + అంభోధి 	సవర్ణదీర్ఘసంధి
చందనాసారము 	చందన + ఆసారము 	సవర్ణదీర్ఘసంధి
దివసేంద్రుడు 	దివస + ఇంద్రుడు 	గుణసంధి
చంద్రకాంతోపలంబులు	చంద్రకాంత + ఉపలంబులు 	గుణసంధి
అభినుతేందుచంద్రిక	అభినుత + ఇందు చంద్రిక	గుణసంధి
కరవటంబన	కరవటంబు + అన	ఉత్వసంధి
ఖండమమరె	ఖండము + అమరె 	ఉత్వసంధి
ధీరంబైన	ధీరంబు + ఐన	ఉత్వసంధి
పండువులై	పండువులు + ఐ	ఉత్వసంధి
రంజనౌషధము	రంజన + బొషధం	వృద్ధిసంధి
సరసపుమాట	సరసము + మాట	పుంప్వాదేశసంధి
సింగపుకొదమ	సింగము + కొదమ	పుంప్వాదేశసంధి
ముత్యపుచిప్ప	ముత్యము + చిప్ప	పుంప్వాదేశసంధి
కావ్యామృతము	కావ్య + అమృతము	సవర్ణదీర్ఘసంధి
మనస్తాపము	మనః + తాపము	విసర్గసంధి
ఇట్లనియె	ఇట్లు + అనియె	ఉకారసంధి
అచ్చోట	ఆ + చోట	త్రికసంధి
నేనక్కడ	నేను + అక్కడ	ఉకారసంధి
పుణ్యావాసము	పుణ్య + ఆవాసము	సవర్ణదీర్ఘసంధి
మదోన్మాదము	మద + ఉన్మాదము	గుణసంధి
స్నిగ్దాంబుద	స్నిగ్ద + అంబుద 	సవర్ణదీర్ఘసంధి
సరభసోత్సాహం 	సరభస + ఉత్సాహం	గుణసంధి
గుణౌద్దత్యం	గుణ + ఔద్ధత్యం 	వృద్ధిసంధి
రసైక స్థితి	రస + ఏక స్టితి	వృద్ధిసంధి
బంధమూడ్చి	బంధము + ఊడ్చి	ఉత్వసంధి
అవ్వారల	ఆ + వారల	త్రికసంధి
భక్తురాలు	భక్త + ఆలు	రురాగమసంధి
బాలెంతరాలు	బాలెంత + ఆలు	రురాగమసంధి
గుణవంతురాలు 	గుణవంత + ఆలు	రురాగమసంధి
దేశాలలో 	దేశము + లలో	లులనలసంధి
పుస్తకాలు	పుస్తకము + లు	లులనలసంధి
సమయాన	సమయము + న	లులనలసంధి
వాజ్మయం 	వాక్‌ + మయం	అనునాసికసంధి
రాణ్మహేంద్రవరం	రాట్‌ + మహేంద్రవరం	అనునాసికసంధి
జగన్నాథుడు	జగత్‌ + నాథుడు	అనునాసికసంధి
తన్మయము	తత్‌ + మయం	అనునాసికసంధి
మరున్నందనుడు	మరుత్‌ + నందనుడు	అనునాసికసంధి
అహాహా	అహ + అహ	ఆమ్రేడితసంధి
ఏమేమి	ఏమి + ఏమి	ఆమ్రేడితసంధి
అక్కడక్కడ	అక్కడ + అక్కడ	ఆమ్రేడితసంధి
పట్టపగలు	పగలు + పగలు	ఆమ్రేడితసంధి
పూరెమ్మ	పూవు + రెమ్మ	ప్రాతాదిసంధి
మీగడ	మీదు + కడ	ప్రాతాదిసంధి
ప్రాయిల్లు	ప్రాత + ఇల్లు	ప్రాతాదిసంధి
కెందామరలు	కెంపు + తామరలు 	ప్రాతాదిసంధి
పూదోట	పూవు + తోట	ప్రాతాదిసంధి
శోకాగ్ని	శోక + అగ్ని 	సవర్ణదీర్ఘసంధి
ఏమది	ఏమి + అది 	ఇత్వసంధి
పాపాచారులు	పాప + ఆచారులు	సవర్ణదీర్ఘసంధి
భరతావని	భారత + అవని	సవర్ణదీర్ఘసంధి
భవదాజ్ఞ	భవత్ + ఆజ్ఞ 	జశ్త్వసంధి
దుశ్చరితము	దుస్ + చరితము	శ్చుత్వసంధి
పుట్టినిల్లు	పుట్టిన + ఇల్లు	అత్వసంధి
నెచ్చెలి	నెఱి + చెలి 	ప్రాతాదిసంధి
గ్రామోద్దరణము	గ్రామ + ఉద్దరణము 	గుణసంధి
మనోహరము	మనః + హరము	విసర్గసంధి
పల్లెటూరు	పల్లె + ఊరు	టుగాగమసంధి
పయోనిథి	పయః + నిధి	విసర్గసంధి
మనశ్శాంతి	మనః + శాంతి	విసర్గసంధి
అంతరాత్మ	అంతః + ఆత్మ	విసర్గసంధి
నిష్ఫలం	నిః + ఫలము	విసర్గసంధి
నమస్కారము	నమస్ + కారము 	విసర్గసంధి
వనస్పతి	వనస్ + పతి 	విసర్గసంధి
అభ్యుదయం	అభి + ఉదయం	యణాదేశసంధి
సత్యోక్తి	సత్య + ఉక్తి 	గుణసంధి
నిరాడంబరము	నిః + ఆడంబరము	విసర్గసంధి
దురభిమానము	దుః + అభిమానము	విసర్గసంధి
తేనెటీగ	తేనె + ఈగ	టుగాగమసంధి
తపోధనుడు	తపః + ధనుడు	విసర్గసంధి
నిలువుటద్దం	నిలువు + అద్దం	టుగాగమసంధి
చేయునతడు	చేయు + అతడు	నుగాగమసంధి
వచ్చునప్పుడు	వచ్చు + అప్పుడు	నుగాగమసంధి
పోవునట్లు	పోవు + అట్లు	నుగాగమసంధి
కలుగునప్పుడు	కలుగు + అప్పుడు	నుగాగమసంధి
తళుకున్గజ్జెలు 	తళుకు + గజ్జెలు	నుగాగమసంధి
సరసపున్దనము 	సరసపు + తనము 	నుగాగమసంధి
తెల్లన్దనము 	తెల్ల + తనము 	నుగాగమసంధి
భావోద్రేకం 	భావ + ఉద్రేకం 	గుణసంధి
ప్రోత్సాహం 	ప్ర + ఉత్సాహం 	గుణసంధి
అతిశయోక్తి 	అతిశయ + ఉక్తి 	గుణసంధి
ప్రత్యర్థులు 	ప్రతి + అర్థులు 	యణాదేశసంధి
ఇంతింత 	ఇంత + ఇంత 	ఆమ్రేడితసంధి
పూరిల్లు 	పూరి + ఇల్లు 	ఇకారసంధి
సందేహపడు 	సందేహము + పడు 	పడ్వాదిసంధి
భంగపడు 	భంగము + పడు	పడ్వాదిసంధి
పుణ్యోదకములు	పుణ్య + ఉదకములు	గుణసంధి
అభ్యంతరం	అభి + అంతరం	యణాదేశసంధి
పుణ్యాత్ముడు	పుణ్య + ఆత్ముడు	సవర్ణదీర్ఘసంధి
అమ్మహాత్ముడు	ఆ + మహాత్ముడు	త్రికసంధి
ఆనందాన్నిచ్చిన	ఆనందాన్ని + ఇచ్చిన	ఇత్వసంధి
జీవనోపాధి	జీవన + ఉపాధి	గుణసంధి
సహస్రాబ్దం	సహస్ర + అబ్దం	సవర్ణదీర్ఘసంధి
మేమంత	మేము + అంత	ఉత్వసంధి
నిరాశ	ని + ఆశ	విసర్గసంధి
సాధికారం	స + అధికారం	సవర్ణదీర్ఘసంధి
నిట్టనిలువు	నిలువు + నిలువు	ఆమ్రేడితసంధి
తెల్లందనము	తెల్ల + తనము	నుగాగమసంధి
కట్టెదుట 	కడు + ఎదుట	ద్విరుక్తటకారదేశసంధి
చింతాకు	చింత + ఆకు	అత్వసంధి
తూగుటుయ్యేల	తూగు + ఉయ్యేల	టుగాగమసంధి
నట్టడవి	నడు + అడవి	ద్విరుక్తటకారదేశసంధి
రామయ్య	రామ + అయ్య	అత్వసంధి
సజ్జనుడు	సత్‌ + జనుడు	శ్చుత్వసంధి
సచ్చరితము	సత్‌ + చరితము	శ్చుత్వసంధి
నిశ్చింత	నిస్‌ + చింత	శ్చుత్వసంధి
సచ్భాత్రుడు	సత్‌ + ఛాత్రుడు	శ్చుత్వసంధి
శరచ్చంద్రికలు	శరత్‌ + చంద్రికలు	శ్చుత్వసంధి
జగజ్జనని	జగత్‌ + జనని	శ్చుత్వసంధి
శార్జిఞ్జయః  	శార్జిన్‌ + జయః	శ్చుత్వసంధి
స్వార్ధం	స్వ + అర్థం	సవర్ణదీర్ఘసంధి
అహరహం	అహః + అహం	విసర్గసంధి
అడ్డంపెట్టు	అడ్డము + పెట్టు	పడ్వాదిసంధి
పుణ్యాంగన	పుణ్య + అంగన	సవర్ణదీర్ఘసంధి
బింబాస్య	బింబ + ఆస్య	సవర్ణదీర్ఘసంధి
శిఖాధిరూఢ	శిఖ + అధిరూఢ	సవర్ణదీర్ఘసంధి
తల్లిదండ్రులు	తల్లి + తండ్రి	గసడదవాదేశసంధి
ముంజేయి	ముందు + చేయి	ప్రాతాదిసంధి
చిట్టచివర	చివర + చివర	ఆమ్రేడితసంధి
మొట్టముదలు	మొదలు + మొదలు	ఆమ్రేడితసంధి
రామేశ్వరం	రామ + ఈశ్వరం	గుణసంధి
కొండంత	కొండ + అంత	అకారసంధి
రాజునాజ్ఞ	రాజు + ఆజ్ఞ	నుగాగమసంధి
ముఖ్యాంశం	ముఖ్య + అంశం	సవర్ణదీర్ఘసంధి
యివ్వీటి	ఈ + వీటి 	త్రికసంధి
మునీశ్వర	ముని + ఈశ్వర	సవర్ణదీర్ఘసంధి
వేదోక్త	వేద + ఉక్త	గుణసంధి
విద్యాలయం	విద్య + ఆలయం	సవర్ణదీర్ఘసంధి
నవ్యాంధ్ర	నవ్య + ఆంధ్ర	సవర్ణదీర్ఘసంధి
మతాచారాలు	మత + ఆచారాలు	సవర్ణదీర్ఘసంధి
అమరామరం	అమర + ఆరామం	సవర్ణదీర్ఘసంధి
పంచారామం	పంచ + ఆరామం	సవర్ణదీర్ఘసంధి
